
INFO_NOFUNDS				;Parece que você não tem dinheiro suficiente para pagar por isso
TRADESANCTIONS_REQUESTLIFTOTHER_REJECT	;Não vemos motivo para retomar o comércio com os {0}
TRADESANCTIONS_REQUESTIMPOSEJOINT	;Solicitamos que você termine o comércio com os {0}
TRADESANCTIONS_REQUESTIMPOSEJOINT_ACCEPT	;A seu pedido, terminamos todo o comércio com os {0}
TRADESANCTIONS_REQUESTIMPOSEJOINT_REJECT	;Não vemos necessidade de encerrar o comércio com os {0}

WAR_DECLARE				;Declaramos formalmente guerra ao seu império sem valor. Suas colônias aguardam libertação de sua tirania
'WAR_DECLARE_RESPONSE_EAGER		;Antecipamos ansiosamente esmagar seu império sem valor até virar pó!
'WAR_DECLARE_RESPONSE_NEUTRAL		;Seja assim. Prepare suas defesas!
'WAR_DECLARE_RESPONSE_SURPRISED		;Deve haver algum engano! O que fizemos para te ofender?! Não somos mais amigos?

WAR_DECLARE_REQUESTJOINT		;Solicitamos formalmente que você declare guerra ao {0}
WAR_DECLARE_REQUESTJOINT_ACCEPT		;A seu pedido, declaramos guerra ao {0}
WAR_DECLARE_REQUESTJOINT_REJECT		;Não declararemos guerra ao {0}. Lute suas próprias guerras!

WAR_END					;Propomos um fim a esta guerra sem sentido.\n\nO que você diz?
WAR_END_SUBJUGATIONDEMAND		;Concordamos em encerrar esta guerra apenas se você concordar em se escravizar e se tornar nosso Domínio Subjugado.\n\nUm pequeno preço a pagar para poupar suas vidas, não acha?
WAR_END_SUBJUGATIONOFFER		;Oferecemos nos submeter como escravos de seu poderoso império se você concordar em encerrar esta guerra destrutiva contra nós.\n\nSeus humildes escravos aguardam sua resposta - o que você diz?

WAR_END_REQUESTOTHER			;Por favor, encerre sua guerra com o {0}
WAR_END_REQUESTOTHER_ACCEPT		;A seu pedido, encerraremos nossa guerra com o {0}
WAR_END_REQUESTOTHER_REJECT		;Não vamos parar nossa luta contra os miseráveis {0}!

SUBJUGATIONDEMAND_ACCEPT		;Sim, aceitamos a derrota e reconhecemos seu status como nosso governante
SUBJUGATIONDEMAND_REJECT		;Não, não vamos ceder à sua demanda ultrajante de subjugação!
SUBJUGATIONOFFER_ACCEPT			;Ótimo, aceitamos seu reconhecimento de derrota. Aguardamos ansiosamente nosso tributo regular de vocês.\n\nAgora vá e tente não ser tão problemáticos!
SUBJUGATIONOFFER_REJECT			;Não, você deve sofrer mais antes que esta guerra termine

SUBJUGATION_REQUESTRELEASE		;Nosso povo sofre sob seu governo despótico! Pedimos que nos liberte de nossa escravidão
SUBJUGATION_RELEASE			;Nós te libertamos da sua escravidão. Use sua liberdade sabiamente
SUBJUGATION_REFUSERELEASE		;Não, você permanecerá nossos escravos. Vocês são escravos bastante bons, não acham?

WARNING						;O que foi?
WARNING_INTELLIGENCEMISSIONS			;Avisamos que encerre imediatamente suas traiçoeiras missões secretas contra nós! Não toleraremos sua contínua interferência em nossos assuntos!
WARNING_INTELLIGENCEMISSIONS_RESPONSE_FRIENDLY	;Não temos conhecimento de missões contra você, meu amigo, mas investigaremos esta situação imediatamente
WARNING_INTELLIGENCEMISSIONS_RESPONSE_NEUTRAL	;Fique tranquilo que investigaremos este incidente
WARNING_INTELLIGENCEMISSIONS_RESPONSE_ANGRY	;Missões secretas? Que missões? Se houvesse missões, certamente não falaríamos sobre elas. Mas de qualquer forma não existem missões... Então pare de ser tão paranoico!
WARNING_ATTACKS					;Lançamos um aviso oficial para que cesse todos os ataques militares contra nós! Falha em parar resultará em nossa resposta com força avassaladora!
WARNING_ATTACKS_RESPONSE_FRIENDLY		;Que terrível, por favor aceite nossas sinceras desculpas por quaisquer ações excessivamente zelosas de nossos comandantes militares
WARNING_ATTACKS_RESPONSE_NEUTRAL		;Investigaremos este incidente e lidaremos com o comandante militar responsável
WARNING_ATTACKS_RESPONSE_ANGRY			;Ataques? Não perderíamos nosso tempo com ataques contra um império tão patético como o seu.

WARNING_REMOVEFORCESSYSTEM					;Não toleraremos a presença de suas forças em nosso território.\n\nRemova suas naves militares do sistema {0} imediatamente!
WARNING_REMOVEFORCESSYSTEM_RESPONSE_COMPLY	;Não vemos necessidade de remover nossas naves do sistema {0}.
WARNING_REMOVEFORCESSYSTEM_RESPONSE_REFUSE	;Iremos cumprir com seu pedido. Nossas naves estão deixando o sistema {0}.
WARNING_REMOVEFORCESSYSTEM_RESPONSE_NOFORCESPRESENT	;Certamente você está enganado? Não temos nenhuma força militar em seu território.

HISTORY_OFFER_LOCATIONHINT		;Nossa pesquisa descobriu a localização de itens históricos importantes.\n\nGostaria de saber mais?
HISTORY_LOCATIONHINT			;Nossas fontes nos informam sobre o {0}.\n\nItens importantes podem ser encontrados lá.
HISTORY_OFFER_STORYCLUE			;Descobrimos algo importante que achamos que vocês deveriam ver por si mesmos.\n\nTemos toda a sua atenção?
HISTORY_OFFER_STORYMESSAGE		;Temos um aviso importante que vocês precisam ouvir.\n\nTemos toda a sua atenção?


MININGRIGHTS_OFFER		;Temos o prazer de oferecer direitos de mineração ao seu império dentro de nossas fronteiras.\n\nAgora você pode construir estações de mineração em nosso território.
MININGRIGHTS_CANCEL		;Seus direitos de mineração dentro de nossas fronteiras foram cancelados.\n\nVocê deve remover todas as suas estações de mineração de nosso território!
MILITARYREFUELING_OFFER		;Temos o prazer de permitir que suas naves militares reabasteçam em nossas colônias e portos espaciais.\n\nEsperamos que suas frotas encontrem esta disposição útil.
MILITARYREFUELING_CANCEL	;Seus direitos de reabastecimento militar foram cancelados.\n\nSuas naves militares não podem mais reabastecer em nossas colônias e portos espaciais.



CANCELPIRATEPROTECTION				;Não queremos mais sua 'proteção'. Nosso acordo com você está cancelado.
CANCELPIRATEPROTECTIONPIRATE				;Não desejamos mais protegê-lo. Nosso acordo de proteção com você está cancelado.
PIRATE_PROTECTIONPROPOSE_OFFER_ACCEPT		;Aceitamos sua oferta de proteção. Concordamos em pagar {0} créditos por mês para você.
PIRATE_PROTECTIONPROPOSE_OFFER_REJECT		;Rejeitamos sua oferta de 'proteção'.

PIRATE_EXTORTPROTECTION		;Saudações às nossas vítimas! Você pode ter notado que estamos prestes a atacá-lo. Mas pelo pequeno preço de {0} créditos por mês, poderíamos evitar essa violência desnecessária.\n\nÉ claro, você realmente deveria ter pago mais cedo. Agora que nosso ataque está em andamento, não temos escolha senão aumentar nossos preços.\n\nEntão, está pronto para pagar agora?

PIRATE_TRUCEPROPOSE		;Você é sábio em buscar um acordo de trégua conosco. Se concordar com uma trégua, podemos garantir sua segurança em todo o nosso domínio.
PIRATE_TRUCEPROPOSEINITIATE		;Quem sabe quais perigos ocultos o aguardam ao viajar pelas regiões sem lei do espaço?\n\nAo concordar com uma trégua, podemos garantir sua segurança em todo o nosso domínio.\n\nO que você diz?
PIRATE_TRUCEACCEPTRESPONSE		;Excelente! Garantiremos que suas naves não sofram 'acidentes desafortunados' enquanto nossa trégua durar...
PIRATE_TRUCEREJECTRESPONSE		;Como desejar. Mas sem uma trégua, não podemos garantir sua segurança...




'======================================
'*** DISTANT WORLDS 2 ENTRIES BELOW ***
'======================================

GREETING_INTRODUCTION			;Saudações! Nós somos os {0}
GREETING_FRIENDLY			;Compartilhe seus pensamentos conosco, amigo
GREETING_NEUTRAL			;Você queria falar comigo?
GREETING_ANGRY				;O que você quer?

OFFER_DEAL				;Você aceitaria este acordo?
OFFER_DEAL_RESPONSE		;Que tipo de acordo você está oferecendo?
'PIRATEPROTECTION_DEAL				;Quem sabe quais perigos ocultos o aguardam ao viajar pelas regiões sem lei do espaço?\n\nPela taxa mensal totalmente razoável de {0} créditos, podemos garantir que nossos capitães de nave, sempre prontos para atirar, evitem causar qualquer dano às suas naves.\n\nInstamos você a aceitar nossa oferta e assim evitar quaisquer acidentes desafortunados...
PIRATEPROTECTION_DEAL				;Seria uma pena se alguma de suas naves ou bases sofresse danos.\n\nPela pequena taxa mensal de {0} créditos, podemos garantir que nossos capitães de nave, sempre prontos para atirar, evitem danificar suas naves.\n\nInstamos você a aceitar nossa oferta e assim evitar quaisquer acidentes desafortunados...
DEAL_BEGIN				;O que você propõe?
DEAL_ACCEPT				;Aceitamos sua proposta
DEAL_ACCEPT_RESPONSE		;Um excelente resultado!
DEAL_REJECT_RESPONSE		;Que decepção...
DEAL_REJECT				;Esta proposta não está em nossos interesses - sem acordo

SWAP_MAPS		;Que tipo de mapa você gostaria de trocar?
WAR_END_ACCEPT				;Concordamos que esta guerra deve terminar - cessaremos imediatamente as hostilidades
WAR_END_REJECT				;Não, vamos continuar lutando.

WAR_END_ACCEPT_BECOMEVASSAL				;Concordamos em nos tornar seu vassalo. Cessaremos imediatamente as hostilidades e iniciaremos nossos pagamentos mensais de tributo
WAR_END_REJECT_BECOMEVASSAL				;Não, recusamos nos submeter como seu vassalo.

WAR_END_ACCEPT_ACCEPTVASSAL				;Aceitamos sua rendição e submissão como nosso vassalo. Aguardamos ansiosamente seus pagamentos mensais de tributo.
WAR_END_REJECT_ACCEPTVASSAL				;Não, recusamos sua oferta de submissão como nosso vassalo. Esta guerra ainda não acabou.

TREATY_ACCEPT			;Aceitamos sua oferta de {0}
TREATY_REJECT			;Não, não estamos interessados em {0} neste momento
TREATY_REJECT_TOOSOON_NEUTRAL			;Não, não estamos interessados em {0}. É muito cedo após a última mudança em nossas relações
TREATY_REJECT_TOOSOON_ANGRY			;Não temos interesse em {0} com você! Além disso, é muito cedo após a última mudança em nossas relações
TREATY_REJECT_TOOSOON_FRIENDLY			;Desculpe, mas não estamos interessados em {0}. É muito cedo após a última mudança em nossas relações
TREATY_ACCEPT_NEUTRAL			;Aceitamos sua oferta de {0}
TREATY_REJECT_NEUTRAL			;Não, não estamos interessados em {0} neste momento
TREATY_ACCEPT_ANGRY			;Aceitamos sua oferta de {0}
TREATY_REJECT_ANGRY			;Não temos interesse em {0} com você!
TREATY_ACCEPT_FRIENDLY			;Aceitamos com prazer sua oferta de {0}!
TREATY_REJECT_FRIENDLY			;Desculpe, mas não estamos interessados em {0} neste momento

PROTECTION_ACCEPT		;Aceitamos seu pedido de proteção. A taxa mensal é de {0} créditos
PROTECTION_ACCEPT_NEUTRAL		;Aceitamos seu pedido de proteção. A taxa mensal é de {0} créditos
PROTECTION_ACCEPT_ANGRY		;Sua fraqueza foi notada. Nossa 'proteção' custará {0} créditos por mês. Você pode ir agora
PROTECTION_ACCEPT_FRIENDLY		;Aceitamos seu pedido de proteção. A taxa mensal é de {0} créditos
PROTECTION_REJECT			;Não, não estamos interessados em proteção neste momento
PROTECTION_REJECT_NEUTRAL		;Não, não queremos um Arranjo de Proteção com você
PROTECTION_REJECT_ANGRY		;Não, não queremos proteger seu império sem valor!
PROTECTION_REJECT_FRIENDLY		;Não, não queremos um Arranjo de Proteção com você

CANCELTREATY				;Estamos cancelando nosso {0} com você
CANCELTREATY_RESPONSE_FRIENDLY		;Estamos tristes que você tenha escolhido encerrar este relacionamento benéfico
CANCELTREATY_RESPONSE_NEUTRAL		;Como você desejar
CANCELTREATY_RESPONSE_ANGRY		;Estamos felizes de nos livrar deste tratado sem valor!
CANCELPROTECTION_RESPONSE_FRIENDLY		;Talvez seja para o melhor
CANCELPROTECTION_RESPONSE_NEUTRAL		;Sentiremos falta daqueles créditos mensais. Talvez encontremos outras maneiras de obtê-los...
CANCELPROTECTION_RESPONSE_ANGRY		;Tolo! Você realmente acha que pode sobreviver sem nossa 'proteção'?!

TREATY_PROPOSAL				;O que você propõe?
TREATY_ACCEPTRESPONSE			;Excelente! Damos as boas-vindas aos nossos novos aliados
TREATY_REJECTRESPONSE			;Que decepção...
PROTECTION_ACCEPTRESPONSE		;Excelente! Aguardamos seus pagamentos mensais
PROTECTION_REJECTRESPONSE		;Uma escolha tola. Você pagará de uma forma ou de outra...

GIFT_GIVE				;Por favor, aceite este presente de {0} créditos como um gesto de nossa boa vontade
GIFT_THANKS_ANGRY				;Seu mísero presente foi notado
GIFT_THANKS_NEUTRAL				;Obrigado pelo seu gentil presente
GIFT_THANKS_FRIENDLY				;Estamos encantados em receber seu generoso presente!
GIFT_PROPOSE				;Que tipo de presente você tem em mente?

WAR_DECLARE_RESPONSE_ANGRY		;Antecipamos ansiosamente esmagar seu império sem valor até a poeira!
WAR_DECLARE_RESPONSE_NEUTRAL		;Que assim seja. Prepare suas defesas!
WAR_DECLARE_RESPONSE_FRIENDLY		;Deve haver algum engano! O que fizemos para ofendê-lo?! Não somos mais amigos?
